question_id,question,MCP,tool,complexity,get_answer_id,answer,eval_method,time-sensitive
Q242,"What is the train number with the shortest travel time from Shenzhen North(深圳北) to Liuzhou(柳州) tomorrow, and how long does it take?",12306-mcp,get-current-date + get-station-code-by-names + get-tickets,L3,q1,,llm_as_a_judge,Yes
Q243,"What is the train number with the shortest travel time from Shenzhenbei(深圳北) to Nanning(南宁) on the day after tomorrow, and how long does it take?",12306-mcp,get-current-date + get-station-code-by-names + get-tickets,L3,q2,,llm_as_a_judge,Yes
Q244,"Which city will have a higher night-time temperature tomorrow, Chengdu or Chongqing, according to Amap(accurate to whole number)? Also show the temperature of both cities.",amap-maps,maps_weather*2,L2,q3,,llm_as_a_judge,Yes
Q245,What are the wind directions in Chongqing and Chengdu during the daytime tomorrow according to Amap? Are they the same?,amap-maps,maps_weather*2,L2,q4,,llm_as_a_judge,Yes
Q246,"Could you please tell me the scheduled departure time, arrival time, and flight number of the earliest flight from Shenzhen Bao'an Airport to Chengdu Shuangliu Airport tomorrow?",variflight,getTodayDate+searchFlightsByDepArr,L3,q5,,llm_as_a_judge,Yes
Q247,"Could you please tell me the scheduled departure time, arrival time, and flight number of the earliest flight from Shenzhen Bao'an Airport to Wuhan Tianhe International Airport tomorrow?",variflight,getTodayDate+searchFlightsByDepArr,L3,q6,,llm_as_a_judge,Yes
Q251,Get search suggestions for 'language learning apps' from the App Store.,appinsightmcp,app-store-suggest,L1,q10,,llm_as_a_judge,Yes
Q252,"Which app has more ratings in the US App Store, the one with ID 570060128 or the one with ID 553834731?",appinsightmcp,app-store-ratings*2,L2,q11,,llm_as_a_judge,Yes
Q253,"Which has more five-star reviews in the US App Store, the one with ID 570060128 or the one with ID 553834731?",appinsightmcp,app-store-ratings*2,L2,q12,,llm_as_a_judge,Yes
Q265,How many datasets are related to climate change on Data.gov?,datagov,package_search,L1,q25,,llm_as_a_judge,Yes
Q266,"What is the train number with the shortest travel time from Shenzhen North(深圳北) to Liuzhou(柳州) the day after tomorrow, and how long does it take?",12306-mcp,get-current-date + get-station-code-by-names + get-tickets,L3,q26,,llm_as_a_judge,Yes
Q267,"What is the train number with the shortest travel time from Guangzhounan(广州南) to Nanning(南宁) on the day after tomorrow, and how long does it take?",12306-mcp,get-current-date + get-station-code-by-names + get-tickets,L3,q27,,llm_as_a_judge,Yes
Q268,"Which city will have a higher night-time temperature tomorrow, Beijing or Wuhan, according to Amap(accurate to whole number)? Also show the temperature of both cities.",amap-maps,maps_weather*2,L2,q28,,llm_as_a_judge,Yes
Q269,What are the wind directions in Beijing and Wuhan during the daytime tomorrow according to Amap? Are they the same?,amap-maps,maps_weather*2,L2,q29,,llm_as_a_judge,Yes
Q270,"Could you please tell me the scheduled departure time, arrival time, and flight number of the earliest flight from Beijing Capital International Airport to Chengdu Shuangliu International Airport tomorrow?",variflight,getTodayDate+searchFlightsByDepArr,L3,q30,,llm_as_a_judge,Yes
